Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Afghanistan,2014,Female,Not applicable,Percent,39.6748
Afghanistan,2014,Male,Not applicable,Percent,70.7472
Afghanistan,2014,All genders,Not applicable,Percent,55.65616
Afghanistan,2013,Male,Not applicable,Percent,72.24778
Afghanistan,2013,All genders,Not applicable,Percent,56.68866
Afghanistan,2013,Female,Not applicable,Percent,40.20533
Afghanistan,2012,Male,Not applicable,Percent,72.01013
Afghanistan,2012,Female,Not applicable,Percent,40.42813
Afghanistan,2012,All genders,Not applicable,Percent,56.67734
Afghanistan,2011,Male,Not applicable,Percent,69.55
Afghanistan,2011,All genders,Not applicable,Percent,54.61618
Afghanistan,2011,Female,Not applicable,Percent,38.7774
Afghanistan,2010,Male,Not applicable,Percent,70.29371
Afghanistan,2010,Female,Not applicable,Percent,35.14346
Afghanistan,2010,All genders,Not applicable,Percent,53.24683
Afghanistan,2009,Male,Not applicable,Percent,62.37435
Afghanistan,2009,Female,Not applicable,Percent,30.12234
Afghanistan,2009,All genders,Not applicable,Percent,46.73276
Afghanistan,2008,Female,Not applicable,Percent,23.7574
Afghanistan,2008,All genders,Not applicable,Percent,40.22338
Afghanistan,2008,Male,Not applicable,Percent,55.71415
Afghanistan,2007,Female,Not applicable,Percent,16.18886
Afghanistan,2007,Male,Not applicable,Percent,43.13067
Afghanistan,2007,All genders,Not applicable,Percent,30.08316
Afghanistan,2006,Female,Not applicable,Percent,15.71563
Afghanistan,2006,All genders,Not applicable,Percent,29.93046
Afghanistan,2006,Male,Not applicable,Percent,43.25263
Afghanistan,2005,Female,Not applicable,Percent,9.56232
Afghanistan,2005,Male,Not applicable,Percent,29.34881
Afghanistan,2005,All genders,Not applicable,Percent,19.7837
Afghanistan,2004,All genders,Not applicable,Percent,18.66479
Afghanistan,2004,Male,Not applicable,Percent,30.16868
Afghanistan,2004,Female,Not applicable,Percent,6.30301
Afghanistan,2003,Female,Not applicable,Percent,6.76975
Afghanistan,2003,Male,Not applicable,Percent,19.38272
Afghanistan,2003,All genders,Not applicable,Percent,13.31708
Afghanistan,2001,All genders,Not applicable,Percent,13.04874
Afghanistan,2001,Male,Not applicable,Percent,25.05512
Afghanistan,2001,Female,Not applicable,Percent,0
Afghanistan,1995,Female,Not applicable,Percent,12.02288
Afghanistan,1995,Male,Not applicable,Percent,32.15374
Afghanistan,1995,All genders,Not applicable,Percent,22.56602
Afghanistan,1994,All genders,Not applicable,Percent,23.1541
Afghanistan,1994,Male,Not applicable,Percent,35.23243
Afghanistan,1994,Female,Not applicable,Percent,9.88646
Afghanistan,1993,Male,Not applicable,Percent,23.46764
Afghanistan,1993,Female,Not applicable,Percent,8.93199
Afghanistan,1993,All genders,Not applicable,Percent,16.52857
Afghanistan,1991,Male,Not applicable,Percent,21.27897
Afghanistan,1991,All genders,Not applicable,Percent,16.3063
Afghanistan,1991,Female,Not applicable,Percent,10.92186
Afghanistan,1990,All genders,Not applicable,Percent,11.22283
Afghanistan,1989,All genders,Not applicable,Percent,13.0112
Afghanistan,1988,Male,Not applicable,Percent,17.92351
Afghanistan,1988,All genders,Not applicable,Percent,13.54388
Afghanistan,1988,Female,Not applicable,Percent,8.85182
Afghanistan,1986,Male,Not applicable,Percent,16.39887
Afghanistan,1986,Female,Not applicable,Percent,8.20383
Afghanistan,1986,All genders,Not applicable,Percent,12.43842
Afghanistan,1985,Female,Not applicable,Percent,8.33942
Afghanistan,1985,All genders,Not applicable,Percent,13.46313
Afghanistan,1985,Male,Not applicable,Percent,18.26298
Afghanistan,1984,Female,Not applicable,Percent,7.91795
Afghanistan,1984,Male,Not applicable,Percent,17.15828
Afghanistan,1984,All genders,Not applicable,Percent,12.67882
Afghanistan,1982,All genders,Not applicable,Percent,10.77397
Afghanistan,1982,Male,Not applicable,Percent,14.74109
Afghanistan,1982,Female,Not applicable,Percent,6.59532
Afghanistan,1981,Female,Not applicable,Percent,7.96004
Afghanistan,1981,Male,Not applicable,Percent,30.66267
Afghanistan,1981,All genders,Not applicable,Percent,19.58524
Afghanistan,1980,All genders,Not applicable,Percent,16.94214
Afghanistan,1978,All genders,Not applicable,Percent,13.44863
Afghanistan,1978,Male,Not applicable,Percent,22.4704
Afghanistan,1978,Female,Not applicable,Percent,4.04409
Afghanistan,1977,Female,Not applicable,Percent,3.71437
Afghanistan,1977,Male,Not applicable,Percent,21.48487
Afghanistan,1977,All genders,Not applicable,Percent,12.77696
Afghanistan,1976,All genders,Not applicable,Percent,11.93622
Afghanistan,1976,Male,Not applicable,Percent,20.43078
Afghanistan,1976,Female,Not applicable,Percent,3.1092
Afghanistan,1975,Female,Not applicable,Percent,2.69927
Afghanistan,1975,Male,Not applicable,Percent,19.07869
Afghanistan,1975,All genders,Not applicable,Percent,11.04103
Albania,2014,Female,Not applicable,Percent,92.60622
Albania,2014,All genders,Not applicable,Percent,96.42609
Albania,2014,Male,Not applicable,Percent,100.02585
Albania,2013,Male,Not applicable,Percent,98.6384
Albania,2013,Female,Not applicable,Percent,92.84245
Albania,2013,All genders,Not applicable,Percent,95.83157
Albania,2012,All genders,Not applicable,Percent,92.74147
Albania,2012,Female,Not applicable,Percent,90.55766
Albania,2012,Male,Not applicable,Percent,94.78174
Albania,2011,Male,Not applicable,Percent,92.29099
Albania,2011,Female,Not applicable,Percent,89.29613
Albania,2011,All genders,Not applicable,Percent,90.84835
Albania,2010,All genders,Not applicable,Percent,88.41164
Albania,2010,Female,Not applicable,Percent,87.96841
Albania,2010,Male,Not applicable,Percent,88.82132
Albania,2009,Male,Not applicable,Percent,84.50826
Albania,2009,Female,Not applicable,Percent,86.38318
Albania,2009,All genders,Not applicable,Percent,85.40931
Albania,2008,All genders,Not applicable,Percent,83.64892
Albania,2008,Female,Not applicable,Percent,83.24238
Albania,2008,Male,Not applicable,Percent,84.02814
Albania,2007,Male,Not applicable,Percent,81.94142
Albania,2007,Female,Not applicable,Percent,80.5809
Albania,2007,All genders,Not applicable,Percent,81.28087
Albania,2006,All genders,Not applicable,Percent,77.95589
Albania,2006,Female,Not applicable,Percent,76.46131
Albania,2006,Male,Not applicable,Percent,79.38844
Albania,2005,Male,Not applicable,Percent,78.7016
Albania,2005,Female,Not applicable,Percent,75.00519
Albania,2005,All genders,Not applicable,Percent,76.88706
Albania,2004,Male,Not applicable,Percent,75.98562
Albania,2004,All genders,Not applicable,Percent,74.17028
Albania,2004,Female,Not applicable,Percent,72.29467
Albania,2003,All genders,Not applicable,Percent,75.01899
Albania,2002,All genders,Not applicable,Percent,73.00286
Albania,2001,Male,Not applicable,Percent,74.34783
Albania,2001,All genders,Not applicable,Percent,72.90516
Albania,2001,Female,Not applicable,Percent,71.44211
Albania,2000,Male,Not applicable,Percent,73.16079
Albania,2000,Female,Not applicable,Percent,69.72282
Albania,2000,All genders,Not applicable,Percent,71.4528
Albania,1999,Male,Not applicable,Percent,73.78773
Albania,1999,All genders,Not applicable,Percent,71.91153
Albania,1999,Female,Not applicable,Percent,70.01583
Albania,1998,All genders,Not applicable,Percent,71.65516
Albania,1997,Male,Not applicable,Percent,71.01336
Albania,1997,All genders,Not applicable,Percent,69.67037
Albania,1997,Female,Not applicable,Percent,68.30023
Albania,1996,Male,Not applicable,Percent,68.61434
Albania,1996,Female,Not applicable,Percent,67.64397
Albania,1996,All genders,Not applicable,Percent,68.13892
Albania,1995,Female,Not applicable,Percent,68.36322
