Country or Area,Year,Value,Value Footnotes
Afghanistan,2019,44.06497,
Afghanistan,2018,44.20343,
Afghanistan,2017,37.13062,
Afghanistan,2016,38.93563,
Afghanistan,2015,39.25519,
Africa Eastern and Southern,2019,53.54069077,
Africa Eastern and Southern,2018,52.91673192,
Africa Eastern and Southern,2017,51.72150692,
Africa Eastern and Southern,2016,50.56551808,
Africa Eastern and Southern,2015,49.76014885,
Africa Western and Central,2019,49.84334455,
Africa Western and Central,2018,48.43018864,
Africa Western and Central,2017,47.23460045,
Africa Western and Central,2016,46.03951,
Africa Western and Central,2015,45.24160227,
Albania,2019,67.74847,
Albania,2018,66.99561,
Albania,2017,66.8377,
Albania,2016,64.16093,
Albania,2015,58.07559,
Algeria,2019,48.59758,
Algeria,2018,48.49803,
Algeria,2017,46.22686,
Algeria,2016,46.10981,
Algeria,2015,44.2486,
Angola,2019,41.28838,
Angola,2018,41.20205,
Angola,2017,39.00774,
Angola,2016,37.65132,
Angola,2015,37.57368,
Antigua and Barbuda,2019,60.28342,
Antigua and Barbuda,2018,59.85514,
Antigua and Barbuda,2017,59.79669,
Antigua and Barbuda,2016,58.80632,
Antigua and Barbuda,2015,59.23927,
Arab World,2019,56.50468955,
Arab World,2018,54.87891727,
Arab World,2017,53.54424227,
Arab World,2016,52.59484773,
Arab World,2015,52.22857955,
Argentina,2019,58.96151,
Argentina,2018,58.18388,
Argentina,2017,57.31005,
Argentina,2016,57.2443,
Argentina,2015,56.73295,
Armenia,2019,74.49401,
Armenia,2018,73.19187,
Armenia,2017,71.49433,
Armenia,2016,70.63154,
Armenia,2015,69.1418,
Australia,2019,81.21506,
Australia,2018,80.70552,
Australia,2017,80.76007,
Australia,2016,80.22369,
Australia,2015,80.38389,
Austria,2019,78.74549,
Austria,2018,78.73995,
Austria,2017,78.70694,
Austria,2016,78.85646,
Austria,2015,78.81665,
Azerbaijan,2019,78.50823,
Azerbaijan,2018,73.8979,
Azerbaijan,2017,67.13946,
Azerbaijan,2016,64.56339,
Azerbaijan,2015,65.7606,
Bahrain,2019,76.02665,
Bahrain,2018,70.13951,
Bahrain,2017,69.09366,
Bahrain,2016,68.7147,
Bahrain,2015,66.6415,
Bangladesh,2019,45.04865,
Bangladesh,2018,42.46602,
Bangladesh,2017,41.5632,
Bangladesh,2016,41.01625,
Bangladesh,2015,40.90786,
Barbados,2019,57.90615,
Barbados,2018,57.6745,
Barbados,2017,57.67127,
Barbados,2016,57.76071,
Barbados,2015,57.67895,
Belarus,2019,74.29113,
Belarus,2018,74.35306,
Belarus,2017,73.57749,
Belarus,2016,72.62337,
Belarus,2015,68.72922,
Belgium,2019,74.98904,
Belgium,2018,74.74503,
Belgium,2017,72.18146,
Belgium,2016,72.4092,
Belgium,2015,72.42806,
Belize,2019,55.47444,
Belize,2018,55.28901,
Belize,2017,55.27374,
Belize,2016,55.36968,
Belize,2015,55.36697,
Benin,2019,52.40404,
Benin,2018,51.71272,
Benin,2017,51.57576,
Benin,2016,49.72104,
Benin,2015,48.65854,
Bhutan,2019,65.97305,
Bhutan,2018,65.96848,
Bhutan,2017,65.7664,
Bhutan,2016,64.99022,
Bhutan,2015,64.86482,
Bolivia,2019,51.65574,
Bolivia,2018,51.5617,
Bolivia,2017,50.97713,
Bolivia,2016,50.2251,
Bolivia,2015,49.75552,
Bosnia and Herzegovina,2019,65.44253,
Bosnia and Herzegovina,2018,65.37254,
Bosnia and Herzegovina,2017,65.24652,
Bosnia and Herzegovina,2016,64.83564,
Bosnia and Herzegovina,2015,64.1284,
Botswana,2019,66.1978,
Botswana,2018,66.17048,
Botswana,2017,65.71078,
Botswana,2016,65.64189,
Botswana,2015,65.48306,
Brazil,2019,59.08307,
Brazil,2018,58.59449,
Brazil,2017,55.6207,
Brazil,2016,55.22357,
Brazil,2015,55.61506,
Brunei,2019,70.06387,
Brunei,2018,69.63482,
Brunei,2017,67.68007,
Brunei,2016,62.85225,
Brunei,2015,57.45747,
Bulgaria,2019,71.97405,
Bulgaria,2018,71.80724,
Bulgaria,2017,71.69407,
Bulgaria,2016,71.59242,
Bulgaria,2015,72.46018,
Burkina Faso,2019,51.40019,
Burkina Faso,2018,51.26807,
Burkina Faso,2017,51.15106,
Burkina Faso,2016,50.92322,
Burkina Faso,2015,50.6503,
Burundi,2019,46.77393,
Burundi,2018,46.47561,
Burundi,2017,45.91224,
Burundi,2016,45.68405,
Burundi,2015,45.57052,
C̫te d'Ivoire,2019,60.68796,
C̫te d'Ivoire,2018,58.34417,
C̫te d'Ivoire,2017,52.98796,
C̫te d'Ivoire,2016,50.95707,
C̫te d'Ivoire,2015,50.32956,
Cabo Verde,2019,55.03925,
Cabo Verde,2018,54.00831,
Cabo Verde,2017,53.98064,
Cabo Verde,2016,53.40924,
Cabo Verde,2015,53.42938,
Cambodia,2019,53.84483,
Cambodia,2018,53.7971,
Cambodia,2017,53.38889,
Cambodia,2016,53.15749,
Cambodia,2015,52.87481,
Cameroon,2019,46.09974,
Cameroon,2018,46.00492,
Cameroon,2017,45.05227,
Cameroon,2016,41.7675,
Cameroon,2015,41.89121,
Canada,2019,79.64043,
Canada,2018,79.6798,
Canada,2017,79.30059,
Canada,2016,79.54094,
Canada,2015,79.75597,
Caribbean small states,2019,58.21769846,
Caribbean small states,2018,57.97522154,
Caribbean small states,2017,58.04065385,
Caribbean small states,2016,57.75479154,
Caribbean small states,2015,57.35551231,
Central African Republic,2019,35.56585,
Central African Republic,2018,34.83372,
Central African Republic,2017,32.35174,
Central African Republic,2016,31.95495,
Central African Republic,2015,32.01455,
Central Europe and the Baltics,2019,76.33505545,
Central Europe and the Baltics,2018,76.15459455,
Central Europe and the Baltics,2017,76.11318909,
Central Europe and the Baltics,2016,75.72835727,
Central Europe and the Baltics,2015,75.35096727,
Chad,2019,36.93568,
Chad,2018,36.66065,
Chad,2017,35.52606,
Chad,2016,36.00847,
Chad,2015,35.29956,
Chile,2019,72.58023,
Chile,2018,72.32025,
Chile,2017,71.951,
Chile,2016,71.58185,
Chile,2015,71.17517,
China,2019,77.28424,
China,2018,73.30366,
China,2017,64.20096,
China,2016,63.79116,
China,2015,62.27669,
Colombia,2019,70.05964,
Colombia,2018,69.24335,
Colombia,2017,69.03524,
Colombia,2016,69.1652,
Colombia,2015,68.85918,
Comoros,2019,47.87291,
Comoros,2018,47.01396,
Comoros,2017,46.87233,
Comoros,2016,46.37003,
Comoros,2015,46.24941,
Congo,2019,39.53359,
Congo,2018,38.22684,
Congo,2017,37.86014,
Congo,2016,38.45264,
Congo,2015,38.91712,
Costa Rica,2019,69.2383,
Costa Rica,2018,68.83187,
Costa Rica,2017,69.30028,
Costa Rica,2016,67.67937,
Costa Rica,2015,67.67451,
Croatia,2019,73.62096,
Croatia,2018,72.95462,
Croatia,2017,72.60762,
Croatia,2016,72.15494,
Croatia,2015,71.35304,
Cyprus,2019,73.35105,
Cyprus,2018,72.77735,
Cyprus,2017,72.28343,
Cyprus,2016,72.31415,
Cyprus,2015,71.95361,
Czechia,2019,76.34054,
Czechia,2018,76.322,
Czechia,2017,76.42162,
Czechia,2016,76.38834,
Czechia,2015,76.10923,
Dem. Rep. Congo,2019,36.20973,
Dem. Rep. Congo,2018,35.23313,
Dem. Rep. Congo,2017,34.57002,
Dem. Rep. Congo,2016,34.39028,
Dem. Rep. Congo,2015,34.35533,
Denmark,2019,85.28856,
Denmark,2018,85.17028,
Denmark,2017,84.5806,
Denmark,2016,84.59517,
Denmark,2015,84.50938,
Djibouti,2019,60.49674,
Djibouti,2018,58.38141,
