T21,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
1,"Total, all countries or areas",1995,Imports CIF (millions of US dollars),,,"5,099,057",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2005,Imports CIF (millions of US dollars),,,"10,577,013",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2010,Imports CIF (millions of US dollars),,,"15,275,115",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2015,Imports CIF (millions of US dollars),,,"16,420,011",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2021,Imports CIF (millions of US dollars),,,"22,263,680",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2022,Imports CIF (millions of US dollars),,,"25,188,057",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2023,Imports CIF (millions of US dollars),,,"22,971,561",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",1995,Exports FOB (millions of US dollars),,,"5,050,238",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2005,Exports FOB (millions of US dollars),,,"10,373,445",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2010,Exports FOB (millions of US dollars),,,"15,102,218",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2015,Exports FOB (millions of US dollars),,,"16,256,699",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2021,Exports FOB (millions of US dollars),,,"21,936,932",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2022,Exports FOB (millions of US dollars),,,"24,505,194",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2023,Exports FOB (millions of US dollars),,,"22,360,177",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",1995,Balance imports/exports (millions of US dollars),,,"-48,819",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2005,Balance imports/exports (millions of US dollars),,,"-203,568",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2010,Balance imports/exports (millions of US dollars),,,"-172,897",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2015,Balance imports/exports (millions of US dollars),,,"-163,312",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2021,Balance imports/exports (millions of US dollars),,,"-326,748",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2022,Balance imports/exports (millions of US dollars),,,"-682,863",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
1,"Total, all countries or areas",2023,Balance imports/exports (millions of US dollars),,,"-611,384",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
