"Country or Area","Year","Value","Value Footnotes"
"Albania","2020","13.2","1"
"Albania","2019","13","1"
"Albania","2018","13","1"
"Albania","2017","12","1"
"Albania","2016","11.8","1"
"Albania","2015","12.1","1"
"Albania","2014","11.5","1"
"Albania","2012","13.2","2"
"Albania","2008","13.1","2"
"Albania","2005","12.9","2"
"Albania","2002","12.6","2"
"Albania","1996","13.7","3"
"Algeria","2011","13.7","4"
"Algeria","1995","11.6","5"
"Algeria","1988","10.7","6"
"Angola","2018","7.7","7"
"Angola","2008","9.6","8"
"Angola","2000","7.8","1"
"Argentina","2021","9.9","9"
"Argentina","2020","9.5","9"
"Argentina","2019","9.5","9"
"Argentina","2018","10","9"
"Argentina","2017","10","9"
"Argentina","2016","9.8","9"
"Argentina","2014","9.8","9"
"Argentina","2013","10","9"
"Argentina","2012","9.9","9"
"Argentina","2011","9.6","9"
"Argentina","2010","9.4","9"
"Argentina","2009","9.4","9"
"Argentina","2008","9.1","9"
"Argentina","2007","8.7","9"
"Argentina","2006","8.7","9"
"Argentina","2005","8.4","9"
"Argentina","2004","8.1","9"
"Argentina","2003","7.6","9"
"Argentina","2002","6.9","10"
"Argentina","2001","7.1","10"
"Argentina","2000","7.6","10"
"Argentina","1999","8","10"
"Argentina","1998","7.8","10"
"Argentina","1997","8.2","10"
"Argentina","1996","8.2","10"
"Argentina","1995","8.4","10"
"Argentina","1994","9","10"
"Argentina","1993","9.3","10"
"Argentina","1992","9.2","10"
"Argentina","1991","9.1","10"
"Argentina","1987","9.3","10"
"Argentina","1986","9.9","10"
"Argentina","1980","10.2","11"
"Armenia","2021","13.8","12"
"Armenia","2020","14.3","12"
"Armenia","2019","13.2","12"
"Armenia","2018","12.2","12"
"Armenia","2017","12.4","12"
"Armenia","2016","12.1","12"
"Armenia","2015","12.6","12"
"Armenia","2014","12.7","12"
"Armenia","2013","12.9","12"
"Armenia","2012","13.2","12"
"Armenia","2011","13.2","12"
"Armenia","2010","13","12"
"Armenia","2009","13.5","12"
"Armenia","2008","13.1","12"
"Armenia","2007","12.8","12"
"Armenia","2006","13.1","12"
"Armenia","2005","11.8","12"
"Armenia","2004","11.5","12"
"Armenia","2003","12.4","12"
"Armenia","2002","12","12"
"Armenia","2001","11.9","12"
"Armenia","1999","11.6","12"
"Australia","2018","12.2","13"
"Australia","2016","12.2","14"
"Australia","2014","12.2","13"
"Australia","2010","11.8","14"
"Australia","2008","11.6","13"
"Australia","2004","12.2","14"
"Australia","2003","12.1","13"
"Australia","2001","12.1","13"
"Australia","1995","12.5","13"
"Australia","1989","12.4","15"
"Australia","1985","12.6","16"
"Australia","1981","12.9","17"
"Austria","2020","13.5","18"
"Austria","2019","13.3","18"
"Austria","2018","13","18"
"Austria","2017","13.3","18"
"Austria","2016","13.2","18"
"Austria","2015","13.2","18"
"Austria","2014","13.2","18"
"Austria","2013","13.1","18"
"Austria","2012","13.3","18"
"Austria","2011","13.1","18"
"Austria","2010","13.2","18"
"Austria","2009","13","18"
"Austria","2008","13.3","18"
"Austria","2007","13.1","18"
"Austria","2006","13.3","18"
"Austria","2005","13.4","18"
"Austria","2004","13.2","18"
"Austria","2003","13.4","18"
"Austria","2000","13.4","19"
"Austria","1999","13.1","19"
"Austria","1998","12.9","19"
"Austria","1997","13.5","19"
"Austria","1996","13.4","19"
"Austria","1995","13.3","20"
"Austria","1994","13.1","19"
"Azerbaijan","2005","13.9","1"
"Azerbaijan","2004","14","1"
"Azerbaijan","2003","13.9","1"
"Azerbaijan","2002","14.3","1"
"Azerbaijan","2001","11.5","1"
"Azerbaijan","1995","12","21"
"Bangladesh","2022","12.6","22"
"Bangladesh","2016","12.4","22"
"Bangladesh","2010","12.5","22"
"Bangladesh","2005","12.2","22"
"Bangladesh","2000","12.1","22"
"Bangladesh","1995","12.5","23"
"Bangladesh","1991","13.6","23"
"Bangladesh","1988","13.4","24"
"Bangladesh","1985","13.8","24"
"Bangladesh","1983","14.3","24"
"Belarus","2020","14.5","25"
"Belarus","2019","14.3","25"
"Belarus","2018","14.4","25"
"Belarus","2017","14.2","25"
"Belarus","2016","14.4","25"
"Belarus","2015","14.3","25"
"Belarus","2014","14","25"
"Belarus","2013","14","25"
"Belarus","2012","14","25"
"Belarus","2011","13.9","25"
"Belarus","2010","13.4","25"
"Belarus","2009","13.8","25"
"Belarus","2008","13.6","25"
"Belarus","2007","13.2","25"
"Belarus","2006","13.5","25"
"Belarus","2005","13.8","25"
"Belarus","2004","14","25"
"Belarus","2003","13.5","25"
"Belarus","2002","13.1","25"
"Belarus","2001","13","25"
"Belarus","2000","12.9","25"
"Belarus","1999","12.6","25"
"Belarus","1998","12.6","25"
"Belgium","2020","14.5","18"
"Belgium","2019","14.2","18"
"Belgium","2018","14.3","18"
"Belgium","2017","14.2","18"
"Belgium","2016","14.1","18"
"Belgium","2015","14","18"
"Belgium","2014","13.9","18"
"Belgium","2013","14.1","18"
"Belgium","2012","14.2","18"
"Belgium","2011","14","18"
"Belgium","2010","13.9","18"
"Belgium","2009","13.9","18"
"Belgium","2008","13.9","18"
"Belgium","2007","13.6","18"
"Belgium","2006","13.9","18"
"Belgium","2005","13.6","18"
"Belgium","2004","13.4","18"
"Belgium","2003","13.9","18"
"Belgium","2000","12.9","26"
"Belgium","1997","14.3","27"
"Belgium","1995","13.9","26"
"Belgium","1992","14.6","27"
"Belgium","1988","14.3","27"
"Belgium","1985","14.4","27"
"Belize","1999","7.7","28"
"Belize","1998","7","28"
"Belize","1997","6.4","28"
"Belize","1996","7.1","29"
"Belize","1994","6.5","28"
"Belize","1993","6.5","28"
"Benin","2018","11","30"
"Benin","2015","9.6","31"
"Benin","2011","9.6","31"
"Benin","2003","10.9","32"
"Bhutan","2022","13.5","33"
"Bhutan","2017","10.8","33"
"Bhutan","2012","10.8","33"
"Bhutan","2007","10.8","33"
"Bhutan","2003","10","33"
"Bolivia","2021","10.4","34"
"Bolivia","2020","9.8","34"
"Bolivia","2019","10.3","34"
"Bolivia","2018","10","34"
"Bolivia","2017","9.4","34"
"Bolivia","2016","9.3","34"
"Bolivia","2015","9","34"
"Bolivia","2014","8.8","34"
"Bolivia","2013","8.8","34"
"Bolivia","2012","9","34"
"Bolivia","2011","9.2","34"
"Bolivia","2009","8.5","34"
"Bolivia","2008","8","34"
"Bolivia","2007","6.8","34"
"Bolivia","2006","6.5","34"
"Bolivia","2005","6.1","34"
"Bolivia","2004","7.2","35"
"Bolivia","2002","6.1","34"
"Bolivia","2001","6.5","34"
"Bolivia","2000","5.3","35"
"Bolivia","1999","5.7","35"
"Bolivia","1997","6.4","36"
"Bosnia and Herzegovina","2011","12.3","1"
"Bosnia and Herzegovina","2007","12.2","1"
"Bosnia and Herzegovina","2004","12.1","2"
"Bosnia and Herzegovina","2001","13.3","2"
"Botswana","2015","7","37"
"Botswana","2009","5.7","38"
"Botswana","2002","4.6","22"
"Botswana","1993","5.9","39"
"Botswana","1985","6.9","39"
"Brazil","2021","7.5","40"
"Brazil","2020","8.7","40"
"Brazil","2019","7.3","41"
"Brazil","2018","7.3","41"
"Brazil","2017","7.4","41"
"Brazil","2016","7.4","41"
"Brazil","2015","7.7","41"
"Brazil","2014","7.7","41"
"Brazil","2013","7.5","41"
"Brazil","2012","7.4","41"
"Brazil","2011","7.5","42"
"Brazil","2009","7.2","42"
"Brazil","2008","7.1","42"
"Brazil","2007","6.9","42"
"Brazil","2006","6.7","42"
"Brazil","2005","6.5","42"
"Brazil","2004","6.5","42"
"Brazil","2003","6.2","42"
"Brazil","2002","6.1","42"
"Brazil","2001","6","42"
"Brazil","1999","6","42"
"Brazil","1998","5.8","42"
"Brazil","1997","5.7","42"
"Brazil","1996","5.7","42"
"Brazil","1995","5.8","42"
"Brazil","1993","5.8","42"
"Brazil","1992","7.1","42"
"Brazil","1990","5.5","42"
"Brazil","1989","5","42"
"Brazil","1988","5.3","42"
"Brazil","1987","5.7","42"
"Brazil","1986","6","42"
"Brazil","1985","6.5","42"
"Brazil","1984","6","42"
"Brazil","1983","5.9","42"
"Brazil","1982","6","42"
"Brazil","1981","6.2","42"
"Bulgaria","2020","10.9","18"
"Bulgaria","2019","11","18"
"Bulgaria","2018","10.8","18"
"Bulgaria","2017","11","18"
"Bulgaria","2016","11","18"
"Bulgaria","2015","11.6","18"
"Bulgaria","2014","11.8","18"
"Bulgaria","2013","12.2","18"
"Bulgaria","2012","12.2","18"
"Bulgaria","2011","12.7","18"
"Bulgaria","2010","12.1","18"
"Bulgaria","2009","12.5","18"
"Bulgaria","2008","12.6","18"
"Bulgaria","2007","11.9","18"
"Bulgaria","2006","12.6","18"
"Burkina Faso","2018","9.8","30"
"Burkina Faso","2014","11.7","43"
"Burkina Faso","2009","10.7","44"
"Burkina Faso","2003","9.7","44"
"Burkina Faso","1998","8.7","45"
"Burkina Faso","1994","8.7","46"
"Burundi","2013","11","47"
"Burundi","2006","11.9","32"
"Burundi","1998","10.4","48"
"Burundi","1992","12.1","6"
"C̫te d'Ivoire","2018","11","30"
"C̫te d'Ivoire","2015","10.2","49"
"C̫te d'Ivoire","2008","9.8","49"
"C̫te d'Ivoire","2002","10.6","49"
"C̫te d'Ivoire","1998","10.8","49"
"C̫te d'Ivoire","1995","10.2","49"
"C̫te d'Ivoire","1992","10.6","48"
"C̫te d'Ivoire","1988","11.3","50"
"C̫te d'Ivoire","1987","10.4","50"
"C̫te d'Ivoire","1986","10.9","50"
"C̫te d'Ivoire","1985","9.3","50"
