"Country or Area","Year","Value","Value Footnotes"
"Albania","2020","17.3","1"
"Albania","2019","17","1"
"Albania","2018","17.5","1"
"Albania","2017","16.5","1"
"Albania","2016","16.4","1"
"Albania","2015","16.5","1"
"Albania","2014","16.4","1"
"Albania","2012","17.3","2"
"Albania","2008","16.8","2"
"Albania","2005","17","2"
"Albania","2002","16.5","2"
"Albania","1996","17.7","3"
"Algeria","2011","17.5","4"
"Algeria","1995","16.2","5"
"Algeria","1988","14.9","6"
"Angola","2018","12.6","7"
"Angola","2008","14.5","8"
"Angola","2000","12.7","1"
"Argentina","2021","15","9"
"Argentina","2020","15.1","9"
"Argentina","2019","15","9"
"Argentina","2018","15.4","9"
"Argentina","2017","15.4","9"
"Argentina","2016","15.2","9"
"Argentina","2014","15.2","9"
"Argentina","2013","15.6","9"
"Argentina","2012","15.4","9"
"Argentina","2011","15","9"
"Argentina","2010","14.9","9"
"Argentina","2009","15","9"
"Argentina","2008","14.5","9"
"Argentina","2007","14.2","9"
"Argentina","2006","14.2","9"
"Argentina","2005","13.7","9"
"Argentina","2004","13.6","9"
"Argentina","2003","12.7","9"
"Argentina","2002","12.2","10"
"Argentina","2001","12.3","10"
"Argentina","2000","12.8","10"
"Argentina","1999","13.1","10"
"Argentina","1998","12.7","10"
"Argentina","1997","13.2","10"
"Argentina","1996","13.1","10"
"Argentina","1995","13.3","10"
"Argentina","1994","14","10"
"Argentina","1993","14.3","10"
"Argentina","1992","13.9","10"
"Argentina","1991","13.3","10"
"Argentina","1987","14.1","10"
"Argentina","1986","14.6","10"
"Argentina","1980","15.4","11"
"Armenia","2021","17.3","12"
"Armenia","2020","17.8","12"
"Armenia","2019","17","12"
"Armenia","2018","15.9","12"
"Armenia","2017","15.9","12"
"Armenia","2016","17","12"
"Armenia","2015","16.7","12"
"Armenia","2014","16.9","12"
"Armenia","2013","16.9","12"
"Armenia","2012","17.1","12"
"Armenia","2011","17","12"
"Armenia","2010","16.8","12"
"Armenia","2009","17.2","12"
"Armenia","2008","17","12"
"Armenia","2007","16.7","12"
"Armenia","2006","17","12"
"Armenia","2005","15.2","12"
"Armenia","2004","15","12"
"Armenia","2003","15.9","12"
"Armenia","2002","15.6","12"
"Armenia","2001","15.6","12"
"Armenia","1999","15.4","12"
"Australia","2018","16.4","13"
"Australia","2016","16.4","14"
"Australia","2014","16.1","13"
"Australia","2010","16.1","14"
"Australia","2008","15.9","13"
"Australia","2004","16.4","14"
"Australia","2003","16.5","13"
"Australia","2001","16.5","13"
"Australia","1995","16.7","13"
"Australia","1989","16.6","15"
"Australia","1985","16.6","16"
"Australia","1981","16.9","17"
"Austria","2020","17.8","18"
"Austria","2019","17.5","18"
"Austria","2018","17.4","18"
"Austria","2017","17.8","18"
"Austria","2016","17.6","18"
"Austria","2015","17.6","18"
"Austria","2014","17.5","18"
"Austria","2013","17.2","18"
"Austria","2012","17.5","18"
"Austria","2011","17.4","18"
"Austria","2010","17.5","18"
"Austria","2009","17.3","18"
"Austria","2008","17.5","18"
"Austria","2007","17.3","18"
"Austria","2006","17.2","18"
"Austria","2005","17.5","18"
"Austria","2004","17.2","18"
"Austria","2003","17.4","18"
"Austria","2000","17.4","19"
"Austria","1999","17.3","19"
"Austria","1998","16.8","19"
"Austria","1997","17.5","19"
"Austria","1996","17.4","19"
"Austria","1995","17.3","20"
"Austria","1994","17","19"
"Azerbaijan","2005","16.6","1"
"Azerbaijan","2004","16.7","1"
"Azerbaijan","2003","17.1","1"
"Azerbaijan","2002","17.1","1"
"Azerbaijan","2001","15.3","1"
"Azerbaijan","1995","16.4","21"
"Bangladesh","2022","16.4","22"
"Bangladesh","2016","16.1","22"
"Bangladesh","2010","16","22"
"Bangladesh","2005","15.6","22"
"Bangladesh","2000","15.6","22"
"Bangladesh","1995","15.7","23"
"Bangladesh","1991","17.3","23"
"Bangladesh","1988","17","24"
"Bangladesh","1985","17.2","24"
"Bangladesh","1983","17.9","24"
"Belarus","2020","18","25"
"Belarus","2019","17.9","25"
"Belarus","2018","17.8","25"
"Belarus","2017","17.9","25"
"Belarus","2016","17.9","25"
"Belarus","2015","18","25"
"Belarus","2014","17.7","25"
"Belarus","2013","17.8","25"
"Belarus","2012","17.9","25"
