"Country or Area","Year","Value","Value Footnotes"
"Albania","2020","38","1"
"Albania","2019","38.9","1"
"Albania","2018","38.2","1"
"Albania","2017","40.7","1"
"Albania","2016","41.2","1"
"Albania","2015","40.6","1"
"Albania","2014","41.7","1"
"Albania","2012","37.8","2"
"Albania","2008","39","2"
"Albania","2005","39.2","2"
"Albania","2002","40.4","2"
"Albania","1996","36.1","3"
"Algeria","2011","37.2","4"
"Algeria","1995","42.6","5"
"Algeria","1988","47.2","6"
"Angola","2018","55.6","7"
"Angola","2008","48.5","8"
"Angola","2000","56.1","1"
"Argentina","2021","47.4","9"
"Argentina","2020","47.3","9"
"Argentina","2019","47.9","9"
"Argentina","2018","46.5","9"
"Argentina","2017","46.4","9"
"Argentina","2016","47.2","9"
"Argentina","2014","46.8","9"
"Argentina","2013","46.1","9"
"Argentina","2012","46.5","9"
"Argentina","2011","47.8","9"
"Argentina","2010","48.6","9"
"Argentina","2009","48.3","9"
"Argentina","2008","49.4","9"
"Argentina","2007","50.6","9"
"Argentina","2006","50.6","9"
"Argentina","2005","52","9"
"Argentina","2004","52.6","9"
"Argentina","2003","54.9","9"
"Argentina","2002","57.8","10"
"Argentina","2001","57","10"
"Argentina","2000","55.1","10"
"Argentina","1999","54.2","10"
"Argentina","1998","55.1","10"
"Argentina","1997","53.7","10"
"Argentina","1996","54","10"
"Argentina","1995","53.8","10"
"Argentina","1994","51","10"
"Argentina","1993","49.9","10"
"Argentina","1992","50.9","10"
"Argentina","1991","52.5","10"
"Argentina","1987","50.6","10"
"Argentina","1986","48.5","10"
"Argentina","1980","46.6","11"
"Armenia","2021","37.7","12"
"Armenia","2020","35.5","12"
"Armenia","2019","39.2","12"
"Armenia","2018","43","12"
"Armenia","2017","42.4","12"
"Armenia","2016","40.2","12"
"Armenia","2015","40.7","12"
"Armenia","2014","40.1","12"
"Armenia","2013","39.4","12"
"Armenia","2012","38.7","12"
"Armenia","2011","38.6","12"
"Armenia","2010","39.4","12"
"Armenia","2009","37.5","12"
"Armenia","2008","38.4","12"
"Armenia","2007","40","12"
"Armenia","2006","38.8","12"
"Armenia","2005","44.7","12"
"Armenia","2004","45.8","12"
"Armenia","2003","42.2","12"
"Armenia","2002","43.5","12"
"Armenia","2001","43.9","12"
"Armenia","1999","44.2","12"
"Australia","2018","41.8","13"
"Australia","2016","41.1","14"
"Australia","2014","42.1","13"
"Australia","2010","42","14"
"Australia","2008","42.7","13"
"Australia","2004","40.9","14"
"Australia","2003","40.9","13"
"Australia","2001","40.9","13"
"Australia","1995","40.4","13"
"Australia","1989","40.6","15"
"Australia","1985","40.2","16"
"Australia","1981","39.2","17"
"Austria","2020","37.8","18"
"Austria","2019","38.2","18"
"Austria","2018","38.7","18"
"Austria","2017","37.8","18"
"Austria","2016","38.6","18"
"Austria","2015","38.4","18"
"Austria","2014","38.7","18"
"Austria","2013","38.9","18"
"Austria","2012","38.4","18"
"Austria","2011","38.7","18"
"Austria","2010","38.4","18"
"Austria","2009","39.3","18"
"Austria","2008","38.6","18"
"Austria","2007","38.7","18"
"Austria","2006","38.3","18"
"Austria","2005","37.5","18"
"Austria","2004","38.5","18"
"Austria","2003","38.1","18"
"Austria","2000","37.7","19"
"Austria","1999","38.3","19"
"Austria","1998","39.7","19"
"Austria","1997","37.6","19"
"Austria","1996","38","19"
"Austria","1995","38.2","20"
"Austria","1994","39","19"
"Azerbaijan","2005","37.8","1"
"Azerbaijan","2004","37.8","1"
"Azerbaijan","2003","37.4","1"
